ADSK;ATVI;PYPL;AMD;INTC;QCOM;NFLX;TXN;ADBE;TMUS;CSCO;AVGO;META;NVDA;TSLA;AMZN;GOOGL;GOOG;MSFT;APPL
205;81;100;111;48;157;359;172;451;122;56;597;199;230;286;139;133;134;289;163
200;81;99;106;47;155;357;173;439;124;55;588;195;227;279;147;132;133;286;159
192;80;97;104;46;152;340;170;416;125;55;578;188;221;265;146;130;130;280;155
189;80;97;102;44;141;331;167;412;124;54;568;187;213;255;142;126;127;276;151
192;80;100;109;45;144;344;172;422;126;56;593;192;230;267;147;129;130;287;155
205;79;108;115;47;150;358;176;442;128;56;607;204;245;280;153;133;134;294;160
212;79;112;112;47;153;371;178;444;129;56;603;208;248;291;157;134;135;295;161
213;79;119;113;47;154;381;180;453;127;56;610;216;265;302;161;136;137;300;164
212;79;115;116;47;156;375;180;454;126;56;601;211;267;307;161;136;136;299;165
217;79;118;115;48;158;383;182;466;126;56;611;217;265;331;165;140;140;304;169
207;79;115;114;48;153;374;179;423;125;54;599;213;256;333;163;138;139;299;170
213;80;116;121;52;158;376;184;432;126;55;626;220;282;338;164;142;141;304;174
212;80;114;120;52;158;374;185;432;124;55;629;222;277;337;165;142;142;304;175
215;80;116;120;52;158;379;186;450;126;55;633;224;282;364;169;141;142;311;176
223;81;121;123;52;161;392;191;466;128;56;641;230;287;367;169;143;143;315;179
221;80;118;119;51;153;381;187;460;129;56;631;228;277;365;166;142;143;314;178
214;80;116;109;50;153;375;183;456;128;56;630;222;273;359;163;139;140;308;175
213;81;117;108;48;147;373;182;458;131;56;627;225;267;362;164;140;141;309;174
219;81;122;111;49;154;392;183;469;133;56;635;234;274;382;168;143;144;315;178
212;80;118;107;48;145;380;177;459;132;55;614;232;259;364;164;141;141;311;175
204;80;112;104;48;139;368;177;444;134;54;602;223;244;349;159;137;137;300;172
205;80;113;104;48;139;362;178;453;133;55;603;223;242;352;158;136;136;301;172
202;80;111;101;47;137;356;174;445;133;54;587;222;231;342;154;133;134;297;170
199;79;110;97;47;135;348;172;434;130;53;581;216;219;325;151;129;130;285;166
196;80;108;95;47;136;344;173;427;131;52;585;214;215;329;151;128;128;282;168
