binance-usd;bitcoin;cardano;cdai;ethereum;heco-peg-xrp;matic-network;metabusdcoin;oec-binance-coin;polkadot;solana;tether
1.004929;21205.158640;0.456827;0.022052;1597.994002;0.341514;0.799859;3.445510;280.826265;7.313360;35.707298;1.003122
1.000145;21323.187240;0.454805;0.022048;1597.372598;0.345536;0.797670;3.439050;279.155230;7.280473;35.567598;1.000267
1.000490;21278.389320;0.451408;0.022048;1586.560313;0.338540;0.790906;3.443850;281.439923;7.236428;35.269059;1.000046
1.001995;21211.832610;0.451320;0.022048;1587.877711;0.344401;0.791250;3.451920;279.915457;7.260491;35.103764;1.001378
1.001504;21244.497570;0.452241;0.022048;1587.183968;0.341163;0.791082;3.482770;281.625761;7.263011;35.142805;1.001426
0.999387;21233.290630;0.449466;0.022066;1572.766471;0.339454;0.783988;3.491770;283.072028;7.194006;34.835104;1.000992
1.004167;21126.524600;0.457333;0.022067;1585.729373;0.343630;0.794078;3.558780;283.491627;7.339993;35.315367;1.001617
0.999799;21252.249980;0.461198;0.022070;1596.425761;0.342961;0.801451;3.567590;283.023104;7.350889;35.648461;1.001096
1.002369;21316.748790;0.465684;0.022057;1620.229988;0.346975;0.806846;3.575500;281.518883;7.415431;36.061563;1.001608
1.000779;21480.664960;0.464746;0.022077;1626.318048;0.344744;0.805682;3.549010;281.036089;7.432456;36.034256;1.001410
1.001386;21440.244440;0.464548;0.022050;1626.465609;0.346894;0.808169;3.558850;279.121217;7.438346;36.181441;0.999326
1.000575;21505.157370;0.460709;0.022064;1627.723096;0.345787;0.807661;3.568330;278.322317;7.403942;36.025322;1.000923
1.000615;21500.504180;0.458490;0.022069;1615.595300;0.341900;0.804937;3.573480;283.436558;7.390822;35.853653;1.000770
1.000759;21426.638700;0.458621;0.022150;1618.836436;0.342077;0.805118;3.601050;285.752394;7.398773;36.005366;1.000559
1.000873;21423.018010;0.461808;0.022150;1620.130982;0.343265;0.807445;3.579870;285.686232;7.406106;36.058156;1.001234
1.000337;21433.725950;0.465892;0.022037;1624.205282;0.346252;0.810888;3.628210;284.628404;7.438110;36.262306;0.998585
1.000633;21406.116370;0.466782;0.022064;1623.652311;0.345454;0.810365;3.625740;284.380189;7.440165;36.336304;1.000449
1.001571;21479.366910;0.467185;0.022079;1625.528876;0.347408;0.814690;3.634360;284.294395;7.434346;36.435284;0.999373
1.000034;21497.461290;0.467552;0.022049;1625.276630;0.345523;0.814731;3.660180;285.597320;7.438706;36.395155;1.000525
1.000774;21520.569100;0.468251;0.022049;1626.526573;0.344002;0.820279;3.704630;286.169466;7.462284;36.576022;0.999037
0.999863;21579.772070;0.469042;0.022118;1628.524779;0.346115;0.825221;3.775890;283.105579;7.468942;36.933270;1.000820
1.001534;21563.341600;0.466246;0.022049;1622.414892;0.346084;0.821626;3.790920;287.295830;7.461825;36.714007;1.000497
0.999080;21624.438130;0.464937;0.022112;1620.677944;0.345168;0.823597;3.797480;285.304888;7.456336;36.640030;1.000869
1.001988;21615.761690;0.462696;0.022094;1614.064889;0.339660;0.815930;3.790760;285.190226;7.407709;36.379174;1.002846
1.002798;21504.764470;0.461753;0.022084;1608.997656;0.337612;0.814353;3.773840;286.469818;7.378204;36.264730;1.000666
1.000669;21474.056110;0.462632;0.022076;1608.607699;0.337866;0.813835;3.755930;284.561045;7.386614;36.401531;1.001206
1.000417;21476.724570;0.461172;0.022041;1601.602403;0.337271;0.809998;3.740250;285.312483;7.368166;36.242182;1.001432
1.005282;21465.256980;0.456897;0.022073;1612.134726;0.340497;0.814366;3.740030;285.099029;7.387559;36.235535;0.999916
1.001308;21553.106220;0.458588;0.022134;1606.149555;0.340601;0.812577;3.719050;284.927444;7.358313;36.190847;1.000662
0.998451;21455.853250;0.452438;0.022090;1585.764798;0.338207;0.797597;3.704710;284.348581;7.231050;35.603078;1.000997
0.998966;21358.650860;0.449975;0.022090;1569.075957;0.338746;0.791600;3.688510;286.633947;7.177884;35.031041;1.001047
1.005593;21192.231330;0.443127;0.022113;1558.955646;0.333518;0.778899;3.657180;284.606666;7.120066;34.316673;0.995845
1.002094;21144.590330;0.445049;0.022091;1565.851119;0.335105;0.780862;3.675300;285.986444;7.143864;34.482616;1.002321
1.001100;21191.651500;0.453182;0.022057;1572.780777;0.335890;0.789602;3.717180;286.361637;7.214923;34.756408;1.000579
0.999155;21280.216690;0.449634;0.022063;1568.209017;0.334619;0.788667;3.701040;285.853128;7.170324;34.659014;1.000241
1.000278;21246.047370;0.447272;0.022071;1564.810421;0.335809;0.788113;3.689010;285.443400;7.130365;34.385918;1.000862
1.004185;21235.502410;0.448135;0.022130;1564.718542;0.336963;0.787250;3.662670;286.211229;7.136423;34.307424;1.001227
1.000594;21296.823010;0.450935;0.022090;1569.012747;0.334393;0.786517;3.596850;284.775029;7.171369;34.304051;1.002401
1.001961;21285.860660;0.454172;0.022063;1589.114574;0.338419;0.796412;3.723780;284.896213;7.247560;34.821392;0.999914
0.999501;21416.986950;0.452236;0.022061;1581.857326;0.336103;0.796907;3.696810;286.272062;7.232751;34.657898;1.000971
1.000366;21349.046060;0.450448;0.022039;1573.862144;0.335988;0.791213;3.680240;286.710178;7.225985;34.511570;1.001018
0.996437;21242.894570;0.447767;0.022054;1556.811157;0.333907;0.783522;3.660130;283.819335;7.175279;34.222375;1.000788
1.000041;21014.941850;0.450332;0.022077;1562.774956;0.334136;0.788579;3.683910;286.074090;7.192660;34.490288;1.000768
0.999937;21056.911220;0.455729;0.022050;1580.642602;0.337818;0.801835;3.706330;286.555509;7.294541;34.822688;1.001580
0.998606;21144.244160;0.454069;0.022065;1569.657574;0.338525;0.792959;3.693850;286.858786;7.250838;34.600272;0.999983
1.002272;21095.017240;0.456333;0.022066;1590.198695;0.343167;0.801275;3.731510;287.153482;7.311686;34.916582;1.001260
1.005426;21217.879470;0.461040;0.022066;1622.307035;0.346216;0.810123;3.761830;285.932899;7.402170;35.489795;1.000702
0.998331;21387.747110;0.461247;0.022031;1620.756777;0.346178;0.810311;3.709870;286.007122;7.385296;35.285918;1.000547
1.001299;21305.413490;0.460809;0.022067;1628.075076;0.340521;0.819840;3.705410;287.545188;7.419542;35.406926;1.000430
1.001073;21331.259130;0.460982;0.022067;1629.942526;0.341416;0.822187;3.718270;287.984095;7.430630;35.370939;1.000703
1.001072;21361.750510;0.458581;0.022062;1618.389321;0.340145;0.819753;3.659950;286.751852;7.423918;35.365117;1.000812
1.000774;21295.726960;0.457814;0.022041;1614.756188;0.339213;0.817858;3.666070;290.198940;7.422468;35.383106;1.000371
1.000789;21297.968860;0.447934;0.022076;1576.435496;0.332844;0.797363;3.611740;287.692096;7.241169;34.435633;1.001550
1.001157;21027.824240;0.451583;0.022083;1575.551374;0.332928;0.799474;3.620720;288.336027;7.284649;34.635846;0.999921
1.001822;21054.127480;0.452969;0.022103;1597.918985;0.335290;0.805649;3.646000;291.728588;7.369153;34.946066;0.998274
1.000051;21229.388270;0.456987;0.021968;1611.183492;0.341843;0.810529;3.664760;290.531502;7.572770;35.260057;0.999545
1.003141;21445.404510;0.461221;0.022039;1621.234429;0.341945;0.814244;3.667420;295.457418;7.694611;35.457668;1.001469
1.001392;21532.050780;0.459008;0.022051;1610.308692;0.337937;0.812658;3.641210;291.695286;7.622805;35.386065;1.000372
1.000045;21428.129310;0.461912;0.022064;1619.947114;0.340106;0.815178;3.656300;292.085308;7.637631;35.723619;1.000298
0.999746;21470.802480;0.457987;0.022052;1613.650306;0.343313;0.810166;3.633970;292.249300;7.550743;35.322437;1.000407
1.001592;21361.476750;0.464176;0.022054;1636.353195;0.344753;0.819036;3.644280;292.249300;7.596738;35.673296;1.000673
1.001771;21521.925870;0.464528;0.022072;1641.204977;0.339856;0.824320;3.650720;294.449745;7.623680;35.884960;1.002642
0.999706;21514.998850;0.461199;0.022118;1643.480620;0.339538;0.824508;3.640620;296.768848;7.599653;35.753381;0.999745
1.000644;21527.374300;0.458683;0.022074;1637.943597;0.340147;0.821582;3.646220;293.737799;7.558639;35.524995;1.000815
1.002670;21443.289920;0.459579;0.022097;1640.573307;0.343176;0.821013;3.662390;294.779180;7.581405;35.418703;1.002833
1.001295;21489.042940;0.462223;0.022113;1660.667100;0.347069;0.828622;3.670880;292.816426;7.625662;35.496633;1.001643
1.001947;21573.419190;0.462387;0.022064;1652.622017;0.345968;0.830367;3.674130;292.467504;7.634783;35.495616;1.000949
0.999925;21546.754370;0.461704;0.022064;1647.742116;0.347573;0.824367;3.663900;294.049474;7.612126;35.416336;1.000350
1.001127;21497.218880;0.461588;0.022063;1648.180321;0.345161;0.826375;3.663680;297.966822;7.612499;35.431597;1.000375
1.000051;21488.194890;0.462926;0.022063;1655.377875;0.348612;0.827906;3.673190;294.318735;7.637423;35.523739;0.999889
1.000296;21510.552870;0.466260;0.022073;1666.033612;0.347562;0.833304;3.696520;293.436449;7.646501;35.708651;1.001149
0.997685;21553.278410;0.459889;0.022059;1641.557728;0.344384;0.820807;3.668720;295.620853;7.564581;35.155661;0.998267
0.996643;21389.179070;0.456365;0.022048;1617.994515;0.339866;0.806345;3.648560;293.725033;7.465897;34.708614;1.004010
0.998296;21227.259660;0.456352;0.022074;1614.804688;0.338189;0.808365;3.659130;293.725033;7.461205;34.635201;1.001425
0.999962;21210.506740;0.455758;0.022074;1614.817576;0.338103;0.809124;3.673430;293.445385;7.469268;34.644922;1.000146
0.999102;21265.125290;0.456972;0.022057;1623.938081;0.341895;0.812626;3.679890;291.158219;7.511963;34.857803;0.999556
0.998530;21325.774850;0.458726;0.022001;1638.377060;0.345379;0.816489;3.613270;289.768846;7.534459;35.001469;0.999109
0.999376;21427.092720;0.461147;0.022083;1642.386577;0.344305;0.816762;3.612680;291.246080;7.540699;35.045165;1.000990
0.999734;21401.208640;0.456793;0.022084;1627.303662;0.342022;0.810539;3.515150;290.446958;7.478885;34.890277;1.000597
1.000658;21314.719440;0.458961;0.022055;1637.435943;0.342364;0.815106;3.520180;289.452042;7.535755;35.138343;1.000369
0.999022;21387.373610;0.459991;0.022075;1637.978549;0.342887;0.814935;3.558500;291.185752;7.546981;35.142315;1.000788
0.998184;21329.882560;0.458000;0.022068;1632.175510;0.341279;0.812236;3.552290;289.601855;7.577093;35.019229;1.000843
1.000027;21290.894360;0.461548;0.022056;1649.748564;0.344283;0.818934;3.572070;292.477428;7.596405;35.380186;1.000084
1.000018;21440.569860;0.461789;0.022080;1657.815078;0.343868;0.819464;3.575550;291.698600;7.580700;35.371990;0.999422
1.000230;21489.870850;0.460033;0.022060;1651.510697;0.343584;0.817407;3.559810;292.773398;7.541489;35.385048;0.999642
1.001502;21448.157110;0.460888;0.022045;1652.058490;0.344212;0.818232;3.592980;294.039181;7.560898;35.412227;1.001133
1.000390;21505.229460;0.466795;0.022051;1683.478566;0.348221;0.830066;3.627150;292.717566;7.676381;36.060758;0.999930
0.999392;21650.740780;0.464996;0.022051;1679.335356;0.348107;0.834845;3.604040;290.834595;7.722083;35.953552;1.000230
0.999144;21724.358330;0.463234;0.022036;1665.542120;0.343694;0.831768;3.609690;292.672494;7.695541;35.800557;1.000285
1.000335;21631.018980;0.464454;0.022064;1670.499605;0.345613;0.830927;3.588810;292.677430;7.683423;35.903767;1.000691
1.000841;21685.835540;0.466095;0.022052;1682.844473;0.352286;0.835984;3.594370;291.203917;7.697249;35.944179;1.001178
1.000179;21753.125070;0.466715;0.022040;1684.960724;0.349578;0.835584;3.641300;294.528768;7.700280;36.025621;1.000155
1.000002;21709.466470;0.465426;0.022069;1680.381059;0.350625;0.827886;3.613650;296.343598;7.704807;35.898557;0.999984
1.000372;21682.126100;0.458996;0.022101;1659.581004;0.344591;0.817047;3.592770;295.326038;7.625358;35.465061;1.000685
0.998429;21519.846340;0.458699;0.022060;1657.614100;0.344971;0.814716;3.509410;294.607732;7.577742;34.981613;1.001030
1.001961;21393.111820;0.461420;0.022084;1669.706394;0.347590;0.820678;3.529860;293.895691;7.632761;35.309316;0.999981
1.000263;21459.644900;0.463060;0.022068;1679.982181;0.348038;0.825206;3.538540;293.528418;7.666519;35.525706;1.000009
1.000018;21592.630760;0.460918;0.022068;1677.118403;0.344885;0.819876;3.528240;294.367627;7.618250;35.536057;1.000541
1.001094;21543.467030;0.460468;0.022093;1671.122860;0.343817;0.816985;3.516230;293.125568;7.572414;35.271333;1.000995
1.000303;21488.139330;0.461975;0.022061;1676.085868;0.342525;0.817722;3.529180;297.287678;7.594966;35.469001;1.000115
1.001349;21535.779770;0.462049;0.022076;1680.400561;0.347335;0.819018;3.538750;294.873111;7.606335;35.643859;1.000273
1.000286;21567.618340;0.465830;0.022077;1700.867679;0.352021;0.828556;3.573660;294.665353;7.733634;36.154224;0.999734
1.000998;21692.246380;0.468552;0.022065;1709.195424;0.349565;0.828657;3.628670;293.843876;7.729126;36.210398;1.000506
0.999744;21744.653720;0.466281;0.022086;1710.549372;0.350494;0.829378;3.606560;290.664596;7.709242;36.214456;1.000179
1.002009;21704.112970;0.466245;0.022092;1706.014854;0.346882;0.826794;3.604130;290.827301;7.695781;36.133679;1.000454
1.001540;21717.618290;0.462918;0.022077;1700.152567;0.350781;0.822332;3.593670;292.378528;7.664516;36.029826;1.001745
0.999539;21679.671950;0.465993;0.022081;1707.913887;0.349821;0.825443;3.636940;289.268877;7.688110;36.269424;0.999545
0.999725;21699.550480;0.464449;0.022054;1705.491050;0.347392;0.817829;3.615410;291.070401;7.632958;35.947189;1.000393
1.000187;21683.867090;0.464512;0.022074;1700.939174;0.346568;0.818333;3.636200;290.652422;7.601195;36.037079;1.000274
0.999676;21638.765300;0.466700;0.022052;1713.585283;0.350165;0.823774;3.671060;291.117600;7.647178;36.087716;1.000531
1.000991;21699.802980;0.462437;0.022054;1702.210779;0.341278;0.813011;3.647830;292.368473;7.528689;35.710699;1.000201
1.003868;21566.521690;0.461203;0.022084;1698.398838;0.344389;0.811190;3.494150;290.269411;7.531697;35.606161;1.003071
1.001307;21522.696730;0.466419;0.022084;1709.642739;0.347991;0.813919;3.521560;286.998958;7.575302;35.784154;1.001451
1.000333;21595.558730;0.465998;0.022052;1701.309623;0.346784;0.811478;3.512160;284.861725;7.554975;35.612520;1.001954
1.000925;21558.429830;0.467756;0.022062;1707.700120;0.347419;0.815351;3.450650;286.671086;7.582162;35.777161;1.000769
1.002506;21620.775600;0.473651;0.022064;1711.158963;0.351463;0.818318;3.424020;287.004428;7.621707;35.953908;1.000395
0.999237;21665.204650;0.470751;0.022051;1700.689176;0.352680;0.815174;3.407050;286.474743;7.597462;35.621109;1.000207
1.000314;21612.162640;0.465579;0.022063;1698.388014;0.348806;0.818061;3.436600;288.869066;7.579659;35.366683;1.001111
1.001188;21610.361320;0.465649;0.022070;1696.766172;0.345821;0.820133;3.441200;288.180265;7.591628;35.347367;1.000881
1.002423;21618.009020;0.463975;0.022092;1681.117374;0.349615;0.815992;3.431950;286.240874;7.522314;34.944514;1.002846
1.001115;21534.731090;0.465250;0.022067;1684.400266;0.346943;0.819352;3.415320;285.143362;7.524441;35.021725;1.000172
1.000265;21551.452550;0.466648;0.022047;1684.684738;0.348339;0.823440;3.407260;284.052538;7.547442;35.128843;1.000032
1.000150;21575.744620;0.468947;0.022059;1689.386889;0.346636;0.823597;3.402270;286.339302;7.569508;35.161974;1.000716
1.000600;21581.570600;0.472684;0.022067;1685.329683;0.347033;0.822605;3.415140;285.609566;7.544310;35.148327;1.000405
0.999097;21565.098500;0.467904;0.022038;1663.344384;0.343912;0.811918;3.401720;286.875811;7.434324;34.634537;0.999192
1.000343;21412.089770;0.480068;0.022067;1662.170249;0.348123;0.813210;3.400680;291.816972;7.448391;34.789590;1.000665
1.001261;21448.499010;0.482258;0.022086;1659.526504;0.345866;0.807296;3.392510;290.582299;7.440776;34.701263;1.001308
1.000124;21447.866290;0.479584;0.022042;1660.440906;0.365922;0.807471;3.376970;288.397077;7.439959;34.648649;1.000094
0.999878;21417.311710;0.476299;0.022063;1661.804607;0.359762;0.808280;3.388200;289.482282;7.465000;34.766171;1.001214
1.001734;21450.579640;0.472503;0.022098;1655.113684;0.357993;0.801712;3.368000;291.468236;7.436179;34.645551;1.001504
0.999404;21442.089020;0.466118;0.022066;1630.782349;0.361468;0.793521;3.330740;290.044667;7.371978;34.209520;0.999430
1.010891;21184.664190;0.475636;0.022127;1669.764791;0.359779;0.818028;3.413080;289.799485;7.582827;34.972384;1.001622
1.001236;21588.220430;0.476611;0.022106;1687.553239;0.357013;0.834538;3.423460;290.822269;7.581084;35.267329;1.001609
0.998898;21743.888980;0.469617;0.022106;1643.515389;0.351626;0.810086;3.362580;290.529000;7.397436;34.305817;1.003170
0.999130;21273.477540;0.453742;0.022083;1600.071926;0.340594;0.791063;3.281260;289.636299;7.194468;33.329204;1.001268
1.002409;20815.421690;0.449200;0.022088;1582.378378;0.336334;0.789260;3.265200;290.398279;7.153445;33.164431;1.000363
0.999452;20708.276000;0.446000;0.022088;1573.838966;0.337972;0.785463;3.227760;291.478764;7.117751;33.221914;1.000621
